filename,top_module,delay_ns,status
BCD_ctr.v,BCD_ctr,N/A,Stat failed or unmapped
Btogray_cnv.v,binary_to_gray,N/A,Stat failed or unmapped
D_ff.v,d_flip_flop,N/A,Stat failed or unmapped
HalfAdder.v,HalfAdder,N/A,Stat failed or unmapped
adder32.v,Adder,N/A,Stat failed or unmapped
alu1.v,alu,N/A,Stat failed or unmapped
barrel_shifter.v,simple_barrel_shifter,N/A,Stat failed or unmapped
bitINV.v,bitINV,N/A,Stat failed or unmapped
case_ex1.v,case_example,N/A,Stat failed or unmapped
case_ex2.v,case_statement,N/A,Stat failed or unmapped
cmp8b.v,greater_than_equal_to,N/A,Stat failed or unmapped
decade_ctr.v,DecadeCounter,N/A,Stat failed or unmapped
decoder.v,dec_4_to_16,N/A,Stat failed or unmapped
ex_logic.v,Logic_Gate,N/A,Stat failed or unmapped
fixedptadder.v,fixed_point_adder,N/A,Stat failed or unmapped
fullAdder.v,FullAdder,N/A,Stat failed or unmapped
fullSub.v,full_subtractor,N/A,Stat failed or unmapped
g00110seq.v,mealy_state_machine_behavioral,N/A,Stat failed or unmapped
g1010seqdet.v,seq_detector_1010,N/A,Stat failed or unmapped
g1101seq.v,moore_nonol,N/A,Stat failed or unmapped
g1101seqMealy.v,mealy_nonol,N/A,Stat failed or unmapped
g1101seqOverlap.v,moore_ol,N/A,Stat failed or unmapped
g111seq.v,pattern_detector,N/A,Stat failed or unmapped
g16b_cmp.v,comparator_16bit,N/A,Stat failed or unmapped
g2HA_adder.v,full_half_add_1bit,N/A,Stat failed or unmapped
g2x1MUX.v,Multiplexer32,N/A,Stat failed or unmapped
g32b_bitAND.v,and_32_bit,N/A,Stat failed or unmapped
g4b_ripple_CA.v,ripple_adder_4bit_behavioral,N/A,Stat failed or unmapped
g4x1MUX.v,mux_cont,N/A,Stat failed or unmapped
g8b_acc.v,pipeline_accumulator,N/A,Stat failed or unmapped
g8b_sub.v,subtracter,N/A,Stat failed or unmapped
gatedD_ff.v,gated_d_ff,N/A,Stat failed or unmapped
half_sub.v,half_subtractor_dataflow,N/A,Stat failed or unmapped
jk_ff.v,jk_flip_flop_sync,N/A,Stat failed or unmapped
lookA_adder.v,four_bit_adder_EC,N/A,Stat failed or unmapped
parallel_reg.v,reg_component,N/A,Stat failed or unmapped
priorityEncoder.v,priority_encoder,N/A,Stat failed or unmapped
ran_fsm.v,state_machine,N/A,Stat failed or unmapped
ring_ctr.v,ring_counter,N/A,Stat failed or unmapped
ripplecarSub.v,ripple_carry_subtractor,N/A,Stat failed or unmapped
sequential_multiplier.v,seqmult,N/A,Stat failed or unmapped
shiftReg.v,shift_register,N/A,Stat failed or unmapped
shift_l32.v,Shift_Left_Two_32,N/A,Stat failed or unmapped
signXtend.v,SignExtension,N/A,Stat failed or unmapped
singleportRAM.v,single_port_ram_synchronous_behavioral,N/A,Stat failed or unmapped
sipoReg.v,serial_in_parallel_out,N/A,Stat failed or unmapped
sisoReg.v,SISO_shift_register,N/A,Stat failed or unmapped
sparse_barrel_shifter.v,sparse_barrel_shifter,N/A,Stat failed or unmapped
stucturalMUX.v,mux_2,N/A,Stat failed or unmapped
t_ff.v,t_flip_flop_sync,N/A,Stat failed or unmapped
